incident_number,season,alarm_type,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
048256-04032013,Autumn,6200,Cooking-time,industry_facility,0,11,0,100
048270-04032013,Autumn,6100,Office Hours,shopping_mall,0,86,0,100
048280-04032013,Autumn,6200,Office Hours,industry_facility,0,8,0,100
048422-04032013,Autumn,1100,Office Hours,apartment,0,36,0,100
048440-04032013,Autumn,1100,Office Hours,rest_home,0,14,0,100
048677-05032013,Autumn,6200,Night-time,industry_facility,0,12,0,100
049037-05032013,Autumn,1100,Cooking-time,hospital,0,17,0,100
049154-06032013,Autumn,1100,Night-time,hospital,0,13,0,100
049159-06032013,Autumn,6200,Night-time,hospital,0,13,0,100
049195-06032013,Autumn,1100,Night-time,apartment,0,46,0,100
049493-06032013,Autumn,6200,Office Hours,school,0,35,0,100
049620-06032013,Autumn,6900,Cooking-time,restaurant,0,19,0,100
049733-07032013,Autumn,1100,Night-time,tansport,0,8,0,100
049969-07032013,Autumn,1120,Office Hours,office,0,4,0,100
050480-08032013,Autumn,1120,Office Hours,others,0,9,0,100
050518-08032013,Autumn,6990,Office Hours,tansport,0,25,0,100
050696-08032013,Autumn,1100,Night-time,public_facility,0,18,0,100
050898-09032013,Autumn,1100,Cooking-time,rest_home,0,19,0,100
050947-09032013,Autumn,6110,Cooking-time,house,0,7,0,100
051038-09032013,Autumn,6110,Office Hours,industry_facility,0,10,0,100
051558-10032013,Autumn,6290,Night-time,school,0,2,0,100
051560-10032013,Autumn,6110,Night-time,industry_facility,0,11,0,100
051564-10032013,Autumn,1100,Night-time,school,0,53,0,100
052076-11032013,Autumn,6110,Night-time,hospital,0,9,0,100
052167-11032013,Autumn,7110,Office Hours,public_facility,0,11,0,100
052187-11032013,Autumn,1200,Office Hours,apartment,0,2,0,100
052683-12032013,Autumn,6290,Cooking-time,school,0,5,0,100
053752-14032013,Autumn,1100,Office Hours,house,0,1,0,100
053948-14032013,Autumn,1900,Office Hours,apartment,0,3,0,100
054150-15032013,Autumn,6110,Cooking-time,hospital,0,16,0,100
054260-15032013,Autumn,6110,Office Hours,hotel,0,14,0,100
054879-16032013,Autumn,1100,Office Hours,tansport,0,5,0,100
055294-16032013,Autumn,6100,Night-time,tansport,0,43,0,100
055423-17032013,Autumn,6110,Night-time,public_facility,0,19,0,100
055889-18032013,Autumn,6200,Night-time,school,0,23,0,100
055927-18032013,Autumn,6100,Night-time,restaurant,0,1,0,100
055942-18032013,Autumn,0,Night-time,others,0,4,0,100
056201-18032013,Autumn,6100,Office Hours,restaurant,0,10,0,100
056431-19032013,Autumn,1200,Night-time,public_facility,0,1,0,100
056564-19032013,Autumn,1100,Office Hours,public_facility,0,28,0,100
057099-20032013,Autumn,6200,Cooking-time,house,0,12,0,100
057711-21032013,Autumn,6200,Office Hours,office,0,16,0,100
057738-21032013,Autumn,6900,Office Hours,restaurant,0,21,0,100
057832-21032013,Autumn,6100,Cooking-time,house,0,53,0,100
058405-22032013,Autumn,6100,Office Hours,tansport,0,23,0,100
060278-25032013,Autumn,6200,Night-time,public_facility,0,28,0,100
061167-26032013,Autumn,6110,Office Hours,hospital,0,5,0,100
061389-26032013,Autumn,6120,Office Hours,industry_facility,0,3,0,100
061596-27032013,Autumn,1100,Night-time,rest_home,0,7,0,100
061985-27032013,Autumn,1120,Office Hours,hospital,0,2,0,100
062338-28032013,Autumn,6900,Night-time,restaurant,0,17,0,100
