incident_number,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
603477-18062012,1100,1,Office Hours,industry_facility,Work_days,0,1,0,100
603510-18062012,1100,1,Cooking-time,hospital,Work_days,0,6,0,100
603595-19062012,6200,0,Night-time,school,Work_days,0,60,0,100
603662-19062012,6200,1,Night-time,shopping_mall,Work_days,0,25,0,100
603744-19062012,6990,0,Office Hours,tansport,Work_days,0,38,0,100
603753-19062012,6200,0,Office Hours,industry_facility,Work_days,0,17,0,100
603754-19062012,6900,1,Office Hours,shopping_mall,Work_days,0,37,0,100
603785-19062012,6990,1,Office Hours,public_facility,Work_days,0,57,0,100
603823-19062012,1100,0,Cooking-time,hospital,Work_days,0,37,0,100
603859-19062012,1100,0,Cooking-time,house,Work_days,0,17,0,100
603860-19062012,6100,0,Cooking-time,house,Work_days,0,107,0,100
603972-19062012,6900,0,Cooking-time,restaurant,Work_days,0,52,0,100
604097-20062012,6100,2,Night-time,hospital,Work_days,0,31,0,100
604103-20062012,6900,1,Night-time,office,Work_days,0,37,0,100
604132-20062012,6900,1,Cooking-time,industry_facility,Work_days,0,24,0,100
604232-20062012,6990,1,Office Hours,industry_facility,Work_days,0,21,0,100
604354-20062012,6110,0,Office Hours,hospital,Work_days,0,36,0,100
604423-20062012,6100,0,Office Hours,house,Work_days,0,50,0,100
604671-21062012,6900,2,Night-time,others,Work_days,0,68,0,100
604681-21062012,1100,0,Night-time,industry_facility,Work_days,0,25,0,100
604692-21062012,1100,0,Night-time,hospital,Work_days,0,16,0,100
604813-21062012,6990,1,Office Hours,rest_home,Work_days,0,41,0,100
604986-21062012,6100,1,Cooking-time,apartment,Work_days,0,155,0,100
604993-21062012,6990,2,Cooking-time,shopping_mall,Work_days,0,34,0,100
605105-22062012,6110,0,Night-time,rest_home,Work_days,0,19,0,100
605258-22062012,1370,0,Office Hours,others,Work_days,0,1,0,100
605302-22062012,6990,2,Cooking-time,apartment,Work_days,0,44,0,100
605600-22062012,0,0,Cooking-time,rest_home,Work_days,0,8,0,100
605723-23062012,6200,0,Night-time,school,Week_ends,0,17,0,100
605832-23062012,6100,1,Cooking-time,tansport,Week_ends,0,8,0,100
606039-23062012,6990,1,Office Hours,house,Week_ends,0,3,0,100
606087-23062012,0,0,Office Hours,others,Week_ends,0,6,0,100
606190-23062012,6990,1,Cooking-time,hotel,Week_ends,0,66,0,100
606198-23062012,0,0,Cooking-time,others,Week_ends,0,9,0,100
606399-24062012,6900,1,Night-time,hotel,Week_ends,0,29,0,100
606401-24062012,6100,1,Night-time,apartment,Week_ends,0,40,0,100
606446-24062012,6990,0,Night-time,industry_facility,Week_ends,0,63,0,100
606455-24062012,6100,1,Night-time,hospital,Week_ends,0,48,0,100
606465-24062012,6200,0,Night-time,industry_facility,Week_ends,0,12,0,100
606512-24062012,6100,1,Cooking-time,school,Week_ends,0,40,0,100
606521-24062012,6100,1,Cooking-time,industry_facility,Week_ends,0,6,0,100
606541-24062012,6990,1,Cooking-time,industry_facility,Week_ends,0,13,0,100
606580-24062012,1100,0,Office Hours,restaurant,Week_ends,0,1,0,100
606611-24062012,6200,1,Cooking-time,industry_facility,Week_ends,0,2,0,100
606719-24062012,6900,1,Office Hours,public_facility,Week_ends,0,15,0,100
606755-24062012,6990,1,Office Hours,others,Week_ends,0,104,0,100
606885-25062012,6990,2,Night-time,industry_facility,Work_days,0,2,0,100
606895-25062012,6990,2,Night-time,others,Work_days,0,87,0,100
606917-25062012,6100,2,Night-time,school,Work_days,0,13,0,100
