incident_number,season,alarm_type,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
054702-16032013,Autumn,6990,6,Week_ends,0,2,0,100
054713-16032013,Autumn,6990,7,Week_ends,0,2,0,100
054727-16032013,Autumn,6990,8,Week_ends,0,1,0,100
054752-16032013,Autumn,6990,9,Week_ends,0,1,0,100
054928-16032013,Autumn,6990,10,Week_ends,0,1,0,100
054988-16032013,Autumn,6990,11,Week_ends,0,1,0,100
055001-16032013,Autumn,6990,12,Week_ends,0,1,0,100
055016-16032013,Autumn,6990,13,Week_ends,0,1,0,100
055058-16032013,Autumn,6990,14,Week_ends,0,1,0,100
055073-16032013,Autumn,6990,15,Week_ends,0,1,0,100
056469-19032013,Autumn,6110,2,Work_days,0,36,0,100
056478-19032013,Autumn,6110,3,Work_days,0,7,0,100
056616-19032013,Autumn,6110,4,Work_days,0,3,0,100
056702-19032013,Autumn,6110,5,Work_days,0,3,0,100
057285-20032013,Autumn,6110,6,Work_days,0,3,0,100
059079-23032013,Autumn,6110,3,Week_ends,0,4,0,100
059125-23032013,Autumn,6110,4,Week_ends,0,2,0,100
059181-23032013,Autumn,6110,5,Week_ends,0,1,0,100
059239-23032013,Autumn,6110,6,Week_ends,0,1,0,100
059360-23032013,Autumn,6110,7,Week_ends,0,1,0,100
059625-24032013,Autumn,6110,8,Week_ends,0,1,0,100
061389-26032013,Autumn,6120,0,Work_days,0,5,0,100
063896-30032013,Autumn,6210,0,Week_ends,0,5,0,100
063962-30032013,Autumn,6100,4,Week_ends,0,8,0,100
064267-31032013,Autumn,6210,1,Week_ends,0,1,0,100
064340-31032013,Autumn,6210,2,Week_ends,0,1,0,100
064759-31032013,Autumn,6900,3,Week_ends,0,21,0,100
064806-01042013,Autumn,6900,4,Work_days,0,19,0,100
064850-01042013,Autumn,6900,5,Work_days,0,12,0,100
066998-04042013,Autumn,1100,4,Work_days,0,3,0,100
067018-04042013,Autumn,1100,5,Work_days,0,2,0,100
067048-05042013,Autumn,1100,6,Work_days,0,2,0,100
067362-05042013,Autumn,1100,7,Work_days,0,2,0,100
067689-06042013,Autumn,1900,0,Week_ends,0,4,0,100
067780-06042013,Autumn,1100,8,Week_ends,0,2,0,100
068914-08042013,Autumn,6900,3,Work_days,0,33,0,100
069245-09042013,Autumn,6210,0,Work_days,0,5,0,100
069314-09042013,Autumn,6210,1,Work_days,0,2,0,100
069435-09042013,Autumn,1120,1,Work_days,0,3,0,100
072210-14042013,Autumn,0,0,Week_ends,0,9,0,100
072219-14042013,Autumn,6900,5,Week_ends,0,5,0,100
074592-18042013,Autumn,1170,0,Work_days,0,2,0,100
083785-03052013,Autumn,1900,1,Work_days,0,3,0,100
