incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
657467-09092012,Spring,6110,Cooking-time,shopping_mall,Week_ends,0,2,0,100
657539-09092012,Spring,6110,Office Hours,shopping_mall,Week_ends,0,2,0,100
657626-09092012,Spring,6990,Office Hours,house,Week_ends,0,3,0,100
657941-09092012,Spring,0,Cooking-time,hospital,Week_ends,0,4,0,100
658029-09092012,Spring,6900,Office Hours,office,Week_ends,0,18,0,100
658555-10092012,Spring,0,Cooking-time,house,Work_days,0,2,0,100
658570-10092012,Spring,1100,Cooking-time,hospital,Work_days,0,13,0,100
658686-10092012,Spring,0,Office Hours,others,Work_days,0,6,0,100
658779-10092012,Spring,0,Cooking-time,shopping_mall,Work_days,0,1,0,100
658786-10092012,Spring,0,Cooking-time,school,Work_days,0,3,0,100
659319-11092012,Spring,6100,Cooking-time,restaurant,Work_days,0,6,0,100
659893-11092012,Spring,6110,Night-time,house,Work_days,0,2,0,100
661244-14092012,Spring,6100,Night-time,tansport,Work_days,0,30,0,100
661261-14092012,Spring,1100,Night-time,hotel,Work_days,0,12,0,100
661293-14092012,Spring,6100,Night-time,industry_facility,Work_days,0,13,0,100
661386-14092012,Spring,6990,Office Hours,tansport,Work_days,0,8,0,100
661444-14092012,Spring,1100,Cooking-time,tansport,Work_days,0,17,0,100
661524-14092012,Spring,0,Cooking-time,rest_home,Work_days,0,3,0,100
661778-14092012,Spring,1100,Cooking-time,industry_facility,Work_days,0,6,0,100
661917-15092012,Spring,6990,Night-time,rest_home,Week_ends,0,25,0,100
661990-15092012,Spring,6100,Night-time,shopping_mall,Week_ends,0,35,0,100
662094-15092012,Spring,6200,Office Hours,hotel,Week_ends,0,12,0,100
662156-15092012,Spring,6200,Office Hours,shopping_mall,Week_ends,0,16,0,100
662157-15092012,Spring,6200,Office Hours,hospital,Week_ends,0,6,0,100
662215-15092012,Spring,6110,Cooking-time,public_facility,Week_ends,0,12,0,100
662272-15092012,Spring,0,Cooking-time,house,Week_ends,0,2,0,100
662340-15092012,Spring,6100,Office Hours,school,Week_ends,0,17,0,100
662379-15092012,Spring,6990,Office Hours,industry_facility,Week_ends,0,16,0,100
662557-15092012,Spring,0,Cooking-time,others,Week_ends,0,5,0,100
662590-15092012,Spring,6200,Cooking-time,tansport,Week_ends,0,2,0,100
662625-15092012,Spring,6900,Night-time,house,Week_ends,0,6,0,100
662782-16092012,Spring,0,Cooking-time,public_facility,Week_ends,0,2,0,100
662800-16092012,Spring,6900,Cooking-time,house,Week_ends,0,8,0,100
662853-16092012,Spring,6110,Office Hours,public_facility,Week_ends,0,8,0,100
662889-16092012,Spring,0,Office Hours,hospital,Week_ends,0,2,0,100
663027-16092012,Spring,6200,Cooking-time,shopping_mall,Week_ends,0,29,0,100
663202-16092012,Spring,1100,Office Hours,shopping_mall,Week_ends,0,19,0,100
