incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
048329-17032014,Autumn,1200,Night-time,others,Work_days,0,5,0,100
048676-17032014,Autumn,0,Cooking-time,rest_home,Work_days,0,2,0,100
049093-18032014,Autumn,6120,Office Hours,others,Work_days,0,2,0,100
049238-18032014,Autumn,6120,Cooking-time,industry_facility,Work_days,0,2,0,100
051125-22032014,Autumn,1100,Night-time,tansport,Week_ends,0,2,0,100
053003-25032014,Autumn,6290,Office Hours,school,Work_days,0,1,0,100
053013-25032014,Autumn,1900,Office Hours,public_facility,Work_days,0,1,0,100
053290-25032014,Autumn,1100,Cooking-time,tansport,Work_days,0,4,0,100
053410-26032014,Autumn,6110,Night-time,shopping_mall,Work_days,0,1,0,100
055589-29032014,Autumn,6110,Night-time,rest_home,Week_ends,0,1,0,100
056109-30032014,Autumn,6120,Night-time,industry_facility,Week_ends,0,1,0,100
056136-31032014,Autumn,1900,Night-time,apartment,Work_days,0,3,0,100
057040-01042014,Autumn,1100,Cooking-time,restaurant,Work_days,0,3,0,100
059234-05042014,Autumn,1900,Cooking-time,apartment,Week_ends,0,1,0,100
060118-07042014,Autumn,1200,Cooking-time,others,Work_days,0,2,0,100
061295-09042014,Autumn,1900,Cooking-time,apartment,Work_days,0,3,0,100
062375-12042014,Autumn,1110,Night-time,others,Week_ends,0,1,0,100
062682-12042014,Autumn,1900,Office Hours,apartment,Week_ends,0,1,0,100
062897-13042014,Autumn,1120,Night-time,shopping_mall,Week_ends,0,1,0,100
063151-13042014,Autumn,6100,Office Hours,tansport,Week_ends,0,5,0,100
064761-16042014,Autumn,6200,Night-time,tansport,Work_days,0,2,0,100
066815-20042014,Autumn,6200,Office Hours,office,Week_ends,0,2,0,100
070534-27042014,Autumn,1900,Cooking-time,others,Week_ends,0,1,0,100
071650-29042014,Autumn,0,Cooking-time,shopping_mall,Work_days,0,1,0,100
073615-03052014,Autumn,1100,Office Hours,hotel,Week_ends,0,2,0,100
078215-12052014,Autumn,1900,Cooking-time,public_facility,Work_days,0,1,0,100
081082-17052014,Autumn,6120,Office Hours,industry_facility,Week_ends,0,2,0,100
081726-18052014,Autumn,1100,Night-time,hospital,Week_ends,0,2,0,100
085232-24052014,Autumn,6110,Cooking-time,shopping_mall,Week_ends,0,2,0,100
086380-25052014,Autumn,7110,Night-time,public_facility,Week_ends,0,2,0,100
089083-30052014,Autumn,1120,Cooking-time,apartment,Work_days,0,1,0,100
090425-02062014,Winter,1200,Office Hours,hotel,Work_days,0,1,0,100
092671-07062014,Winter,1120,Night-time,others,Week_ends,0,3,0,100
093124-07062014,Winter,6200,Night-time,tansport,Week_ends,0,1,0,100
097958-18062014,Winter,1120,Office Hours,industry_facility,Work_days,0,1,0,100
098362-19062014,Winter,6110,Office Hours,house,Work_days,0,2,0,100
099542-21062014,Winter,6200,Office Hours,school,Week_ends,0,1,0,100
101594-25062014,Winter,1170,Office Hours,others,Work_days,0,1,0,100
105216-01072014,Winter,2270,Cooking-time,others,Work_days,0,2,0,100
106840-04072014,Winter,6990,Night-time,restaurant,Work_days,0,3,0,100
107690-05072014,Winter,1100,Office Hours,office,Week_ends,0,2,0,100
110903-10072014,Winter,1120,Office Hours,hotel,Work_days,0,1,0,100
112067-12072014,Winter,1100,Night-time,industry_facility,Week_ends,0,3,0,100
114216-15072014,Winter,1120,Cooking-time,hospital,Work_days,0,1,0,100
115038-16072014,Winter,1200,Night-time,hotel,Work_days,0,4,0,100
115841-18072014,Winter,1130,Cooking-time,shopping_mall,Work_days,0,1,0,100
120861-27072014,Winter,6200,Night-time,hospital,Week_ends,0,2,0,100
122314-29072014,Winter,1900,Office Hours,others,Work_days,0,1,0,100
127208-04082014,Winter,0,Night-time,school,Work_days,0,1,0,100
130093-09082014,Winter,1100,Cooking-time,restaurant,Week_ends,0,1,0,100
132075-12082014,Winter,6210,Night-time,office,Work_days,0,1,0,100
138956-24082014,Winter,1100,Night-time,hospital,Week_ends,0,1,0,100
138971-24082014,Winter,1100,Cooking-time,hospital,Week_ends,0,1,0,100
144724-04092014,Spring,1200,Cooking-time,hotel,Work_days,0,3,0,100
144797-05092014,Spring,1200,Night-time,hotel,Work_days,0,1,0,100
146570-08092014,Spring,1900,Cooking-time,shopping_mall,Work_days,0,1,0,100
147436-10092014,Spring,1200,Office Hours,hotel,Work_days,0,1,0,100
151235-17092014,Spring,0,Cooking-time,office,Work_days,0,1,0,100
152717-20092014,Spring,6990,Night-time,restaurant,Week_ends,0,2,0,100
154851-23092014,Spring,1900,Office Hours,apartment,Work_days,0,1,0,100
155137-24092014,Spring,6210,Night-time,office,Work_days,0,2,0,100
156494-26092014,Spring,6110,Office Hours,house,Work_days,0,1,0,100
157977-28092014,Spring,1100,Night-time,rest_home,Week_ends,0,1,0,100
158084-29092014,Spring,6200,Cooking-time,tansport,Work_days,0,1,0,100
159914-01102014,Spring,0,Office Hours,rest_home,Work_days,0,3,0,100
160665-02102014,Spring,0,Office Hours,apartment,Work_days,0,3,0,100
161935-04102014,Spring,0,Night-time,hotel,Week_ends,0,1,0,100
162400-04102014,Spring,6210,Office Hours,office,Week_ends,0,1,0,100
162787-05102014,Spring,6110,Night-time,shopping_mall,Week_ends,0,1,0,100
165807-09102014,Spring,0,Cooking-time,hotel,Work_days,0,4,0,100
167503-11102014,Spring,0,Cooking-time,office,Week_ends,0,1,0,100
168014-12102014,Spring,1170,Office Hours,industry_facility,Week_ends,0,1,0,100
170676-15102014,Spring,1110,Cooking-time,others,Work_days,0,2,0,100
176281-25102014,Spring,2350,Office Hours,others,Week_ends,0,1,0,100
176293-25102014,Spring,1100,Office Hours,hospital,Week_ends,0,1,0,100
177540-26102014,Spring,0,Night-time,school,Week_ends,0,1,0,100
178439-27102014,Spring,0,Night-time,office,Work_days,0,1,0,100
179344-29102014,Spring,1100,Office Hours,hospital,Work_days,0,1,0,100
180416-30102014,Spring,1100,Night-time,restaurant,Work_days,0,2,0,100
180477-31102014,Spring,0,Night-time,hospital,Work_days,0,1,0,100
181530-01112014,Spring,1200,Cooking-time,shopping_mall,Week_ends,0,1,0,100
182319-01112014,Spring,0,Office Hours,rest_home,Week_ends,0,1,0,100
182840-01112014,Spring,1900,Cooking-time,public_facility,Week_ends,0,1,0,100
184204-03112014,Spring,0,Office Hours,shopping_mall,Work_days,0,1,0,100
186698-07112014,Spring,1200,Cooking-time,office,Work_days,0,1,0,100
187634-08112014,Spring,2350,Cooking-time,others,Week_ends,0,1,0,100
188003-09112014,Spring,6990,Night-time,tansport,Week_ends,0,1,0,100
193531-16112014,Spring,6100,Cooking-time,restaurant,Week_ends,0,1,0,100
202921-29112014,Spring,6110,Night-time,hospital,Week_ends,0,1,0,100
203103-29112014,Spring,1120,Office Hours,shopping_mall,Week_ends,0,1,0,100
203501-30112014,Spring,6110,Night-time,house,Week_ends,0,1,0,100
203722-30112014,Spring,1100,Office Hours,house,Week_ends,0,1,0,100
205142-02122014,Summer,1100,Office Hours,industry_facility,Work_days,0,3,0,100
205666-03122014,Summer,1100,Night-time,restaurant,Work_days,0,1,0,100
205828-03122014,Summer,1900,Cooking-time,school,Work_days,0,1,0,100
209196-07122014,Summer,1100,Office Hours,hospital,Week_ends,0,2,0,100
213008-13122014,Summer,1200,Cooking-time,others,Week_ends,0,1,0,100
213596-14122014,Summer,4310,Office Hours,others,Week_ends,0,1,0,100
218379-22122014,Summer,1100,Night-time,rest_home,Work_days,0,1,0,100
218519-22122014,Summer,6200,Office Hours,house,Work_days,0,3,0,100
219755-24122014,Summer,1100,Cooking-time,restaurant,Work_days,0,2,0,100
223401-30122014,Summer,2270,Office Hours,office,Work_days,0,1,0,100
224096-31122014,Summer,6110,Night-time,shopping_mall,Work_days,0,2,0,100
224308-31122014,Summer,1100,Office Hours,restaurant,Work_days,0,2,0,100
000798-02012015,Summer,7110,Night-time,public_facility,Work_days,0,1,0,100
001864-03012015,Summer,1120,Cooking-time,industry_facility,Week_ends,0,1,0,100
004355-08012015,Summer,6200,Night-time,industry_facility,Work_days,0,1,0,100
004434-08012015,Summer,1200,Cooking-time,office,Work_days,0,1,0,100
004514-08012015,Summer,1200,Office Hours,others,Work_days,0,1,0,100
009606-17012015,Summer,0,Cooking-time,tansport,Week_ends,0,1,0,100
010417-18012015,Summer,6120,Office Hours,others,Week_ends,0,1,0,100
013576-24012015,Summer,6120,Office Hours,industry_facility,Week_ends,0,1,0,100
013785-24012015,Summer,1100,Cooking-time,industry_facility,Week_ends,0,2,0,100
015301-27012015,Summer,2270,Cooking-time,office,Work_days,0,1,0,100
017237-31012015,Summer,1100,Night-time,restaurant,Week_ends,0,2,0,100
020847-07022015,Summer,1120,Cooking-time,hospital,Week_ends,0,1,0,100
021353-08022015,Summer,6990,Cooking-time,tansport,Week_ends,0,1,0,100
030113-24022015,Summer,7110,Night-time,others,Work_days,0,1,0,100
038272-10032015,Autumn,1100,Night-time,restaurant,Work_days,0,1,0,100
038318-10032015,Autumn,6200,Night-time,house,Work_days,0,1,0,100
038453-10032015,Autumn,1200,Office Hours,office,Work_days,0,1,0,100
043180-18032015,Autumn,6110,Office Hours,house,Work_days,0,1,0,100
045018-21032015,Autumn,1200,Cooking-time,others,Week_ends,0,1,0,100
045276-21032015,Autumn,1200,Office Hours,apartment,Week_ends,0,1,0,100
045283-21032015,Autumn,1120,Office Hours,others,Week_ends,0,1,0,100
046509-24032015,Autumn,2350,Night-time,others,Work_days,0,1,0,100
051412-01042015,Autumn,6110,Cooking-time,shopping_mall,Work_days,0,4,0,100
051840-02042015,Autumn,1120,Cooking-time,hotel,Work_days,0,2,0,100
052016-02042015,Autumn,1120,Cooking-time,hospital,Work_days,0,1,0,100
052963-04042015,Autumn,6900,Office Hours,restaurant,Week_ends,0,3,0,100
053600-05042015,Autumn,1100,Cooking-time,restaurant,Week_ends,0,1,0,100
058408-15042015,Autumn,1140,Cooking-time,apartment,Work_days,0,2,0,100
058444-15042015,Autumn,0,Office Hours,tansport,Work_days,0,1,0,100
058468-15042015,Autumn,6200,Office Hours,house,Work_days,0,2,0,100
060292-18042015,Autumn,6110,Office Hours,rest_home,Week_ends,0,1,0,100
062373-21042015,Autumn,1120,Night-time,industry_facility,Work_days,0,1,0,100
068161-22042015,Autumn,4110,Night-time,others,Work_days,0,1,0,100
070286-25042015,Autumn,2270,Office Hours,office,Week_ends,0,1,0,100
070347-25042015,Autumn,1100,Office Hours,industry_facility,Week_ends,0,1,0,100
070424-25042015,Autumn,6200,Office Hours,industry_facility,Week_ends,0,1,0,100
070445-25042015,Autumn,6110,Office Hours,shopping_mall,Week_ends,0,1,0,100
070514-25042015,Autumn,7110,Office Hours,others,Week_ends,0,1,0,100
071655-27042015,Autumn,2270,Cooking-time,office,Work_days,0,1,0,100
074820-02052015,Autumn,1120,Office Hours,hotel,Week_ends,0,1,0,100
075264-03052015,Autumn,1100,Night-time,rest_home,Week_ends,0,1,0,100
082456-16052015,Autumn,1100,Night-time,industry_facility,Week_ends,0,1,0,100
083476-17052015,Autumn,1100,Cooking-time,industry_facility,Week_ends,0,1,0,100
084653-20052015,Autumn,1200,Cooking-time,office,Work_days,0,1,0,100
086691-24052015,Autumn,1120,Cooking-time,office,Week_ends,0,1,0,100
090033-30052015,Autumn,0,Cooking-time,apartment,Week_ends,0,1,0,100
093543-06062015,Winter,6990,Cooking-time,restaurant,Week_ends,0,1,0,100
097054-13062015,Winter,6110,Cooking-time,industry_facility,Week_ends,0,1,0,100
097413-14062015,Winter,6120,Night-time,industry_facility,Week_ends,0,1,0,100
097414-14062015,Winter,1170,Night-time,industry_facility,Week_ends,0,1,0,100
102413-24062015,Winter,2270,Cooking-time,office,Work_days,0,2,0,100
102689-24062015,Winter,1120,Cooking-time,office,Work_days,0,3,0,100
103021-25062015,Winter,6120,Office Hours,others,Work_days,0,2,0,100
103128-25062015,Winter,6120,Cooking-time,others,Work_days,0,3,0,100
103278-26062015,Winter,1100,Night-time,restaurant,Work_days,0,1,0,100
104064-27062015,Winter,6110,Office Hours,industry_facility,Week_ends,0,1,0,100
110217-09072015,Winter,1100,Office Hours,restaurant,Work_days,0,1,0,100
113320-15072015,Winter,0,Office Hours,hospital,Work_days,0,2,0,100
115527-19072015,Winter,1120,Cooking-time,shopping_mall,Week_ends,0,1,0,100
118734-26072015,Winter,6110,Cooking-time,house,Week_ends,0,1,0,100
119942-28072015,Winter,1200,Office Hours,others,Work_days,0,1,0,100
