incident_number,season,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
662422-15092012,Spring,6900,1,school,Week_ends,0,19,0,100
662531-15092012,Spring,6900,9,office,Week_ends,0,1,0,100
662557-15092012,Spring,0,0,others,Week_ends,0,10,0,100
662616-15092012,Spring,6100,1,hotel,Week_ends,0,10,0,100
662625-15092012,Spring,6900,0,house,Week_ends,0,17,0,100
662782-16092012,Spring,0,1,public_facility,Week_ends,0,1,0,100
663019-16092012,Spring,0,1,others,Week_ends,0,1,0,100
663277-16092012,Spring,6200,1,shopping_mall,Week_ends,0,12,0,100
664049-18092012,Spring,6200,1,rest_home,Work_days,0,6,0,100
664065-18092012,Spring,1120,1,others,Work_days,0,4,0,100
664192-18092012,Spring,1120,0,hotel,Work_days,0,5,0,100
664420-18092012,Spring,1120,2,others,Work_days,0,1,0,100
664657-19092012,Spring,1120,1,hotel,Work_days,0,2,0,100
664716-19092012,Spring,6900,3,public_facility,Work_days,0,3,0,100
666275-21092012,Spring,6200,0,house,Work_days,0,12,0,100
666757-22092012,Spring,6900,1,public_facility,Week_ends,0,13,0,100
667404-22092012,Spring,6100,2,hospital,Week_ends,0,5,0,100
667445-22092012,Spring,1100,1,hotel,Week_ends,0,2,0,100
668056-23092012,Spring,6990,1,hotel,Week_ends,0,28,0,100
668093-23092012,Spring,1100,2,hotel,Week_ends,0,1,0,100
668175-23092012,Spring,0,0,public_facility,Week_ends,0,2,0,100
668412-24092012,Spring,6900,1,hotel,Work_days,0,28,0,100
668413-24092012,Spring,6900,2,hotel,Work_days,0,4,0,100
668414-24092012,Spring,6900,3,hotel,Work_days,0,2,0,100
668416-24092012,Spring,6900,4,hotel,Work_days,0,1,0,100
668995-24092012,Spring,1100,0,house,Work_days,0,11,0,100
669802-26092012,Spring,6100,2,hospital,Work_days,0,22,0,100
669917-26092012,Spring,6990,3,rest_home,Work_days,0,2,0,100
669921-26092012,Spring,6990,4,rest_home,Work_days,0,1,0,100
669965-26092012,Spring,1900,0,others,Work_days,0,21,0,100
670050-26092012,Spring,6900,3,apartment,Work_days,0,3,0,100
670613-27092012,Spring,6900,4,apartment,Work_days,0,2,0,100
670891-27092012,Spring,6900,5,apartment,Work_days,0,1,0,100
