incident_number,season,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
062819-28032013,Autumn,3,Office Hours,apartment,0,3,0,100
063767-30032013,Autumn,1,Cooking-time,tansport,0,23,0,100
063932-30032013,Autumn,3,Cooking-time,shopping_mall,0,7,0,100
063960-30032013,Autumn,3,Office Hours,others,0,14,0,100
063962-30032013,Autumn,4,Office Hours,others,0,10,0,100
064437-31032013,Autumn,1,Office Hours,tansport,0,10,0,100
064806-01042013,Autumn,4,Night-time,hotel,0,1,0,100
064850-01042013,Autumn,5,Night-time,hotel,0,1,0,100
066096-03042013,Autumn,2,Office Hours,school,0,30,0,100
066157-03042013,Autumn,2,Cooking-time,office,0,18,0,100
067018-04042013,Autumn,5,Night-time,school,0,3,0,100
067048-05042013,Autumn,6,Night-time,school,0,2,0,100
067780-06042013,Autumn,8,Office Hours,school,0,1,0,100
068906-08042013,Autumn,2,Cooking-time,house,0,4,0,100
069313-09042013,Autumn,3,Cooking-time,hospital,0,10,0,100
070076-10042013,Autumn,2,Office Hours,office,0,10,0,100
070935-12042013,Autumn,4,Cooking-time,others,0,12,0,100
072197-14042013,Autumn,3,Night-time,school,0,5,0,100
072209-14042013,Autumn,4,Night-time,school,0,4,0,100
072666-14042013,Autumn,4,Cooking-time,shopping_mall,0,1,0,100
075831-19042013,Autumn,3,Night-time,public_facility,0,3,0,100
076079-20042013,Autumn,2,Office Hours,public_facility,0,7,0,100
076787-21042013,Autumn,2,Office Hours,rest_home,0,4,0,100
077506-22042013,Autumn,3,Cooking-time,house,0,2,0,100
079484-26042013,Autumn,3,Office Hours,shopping_mall,0,2,0,100
082588-01052013,Autumn,3,Night-time,rest_home,0,4,0,100
084236-04052013,Autumn,3,Night-time,others,0,22,0,100
086046-07052013,Autumn,3,Night-time,apartment,0,5,0,100
086637-08052013,Autumn,4,Cooking-time,hospital,0,5,0,100
086991-08052013,Autumn,3,Cooking-time,hotel,0,4,0,100
087607-09052013,Autumn,2,Cooking-time,tansport,0,1,0,100
087617-09052013,Autumn,3,Cooking-time,tansport,0,2,0,100
088423-10052013,Autumn,2,Night-time,tansport,0,3,0,100
093800-19052013,Autumn,3,Cooking-time,apartment,0,10,0,100
094325-20052013,Autumn,4,Night-time,apartment,0,5,0,100
094368-20052013,Autumn,5,Cooking-time,apartment,0,3,0,100
094407-20052013,Autumn,6,Cooking-time,apartment,0,3,0,100
095050-21052013,Autumn,4,Office Hours,shopping_mall,0,1,0,100
095754-22052013,Autumn,1,Office Hours,restaurant,0,3,0,100
096086-22052013,Autumn,4,Cooking-time,apartment,0,3,0,100
096688-24052013,Autumn,6,Night-time,apartment,0,2,0,100
096952-24052013,Autumn,7,Cooking-time,apartment,0,1,0,100
097298-25052013,Autumn,8,Night-time,apartment,0,3,0,100
098855-27052013,Autumn,1,Cooking-time,house,0,12,0,100
100692-31052013,Autumn,2,Office Hours,tansport,0,4,0,100
101012-31052013,Autumn,3,Night-time,office,0,3,0,100
101690-02062013,Winter,1,Office Hours,restaurant,0,3,0,100
102400-04062013,Winter,3,Night-time,hospital,0,6,0,100
107714-14062013,Winter,3,Night-time,school,0,1,0,100
110364-19062013,Winter,3,Cooking-time,hotel,0,3,0,100
111672-21062013,Winter,3,Night-time,industry_facility,0,3,0,100
111802-22062013,Winter,5,Night-time,apartment,0,1,0,100
112978-24062013,Winter,3,Night-time,hotel,0,3,0,100
113008-24062013,Winter,5,Night-time,office,0,1,0,100
113383-24062013,Winter,2,Cooking-time,tansport,0,1,0,100
113564-25062013,Winter,1,Night-time,restaurant,0,2,0,100
114006-25062013,Winter,4,Cooking-time,school,0,2,0,100
114037-25062013,Winter,5,Night-time,school,0,1,0,100
114045-25062013,Winter,2,Night-time,tansport,0,2,0,100
114890-27062013,Winter,2,Office Hours,tansport,0,3,0,100
115124-27062013,Winter,3,Night-time,tansport,0,1,0,100
116200-30062013,Winter,4,Night-time,school,0,2,0,100
116275-30062013,Winter,1,Night-time,house,0,9,0,100
118045-03072013,Winter,6,Office Hours,others,0,1,0,100
118473-04072013,Winter,9,Cooking-time,others,0,1,0,100
127097-20072013,Winter,4,Office Hours,shopping_mall,0,1,0,100
127516-21072013,Winter,3,Night-time,rest_home,0,2,0,100
128555-23072013,Winter,2,Cooking-time,house,0,2,0,100
144984-19082013,Winter,2,Night-time,house,0,2,0,100
147571-23082013,Winter,4,Night-time,hospital,0,2,0,100
147889-23082013,Winter,5,Cooking-time,hospital,0,1,0,100
167749-18092013,Spring,2,Cooking-time,restaurant,0,2,0,100
168692-20092013,Spring,2,Cooking-time,tansport,0,1,0,100
172341-25092013,Spring,3,Night-time,apartment,0,3,0,100
179947-02102013,Spring,3,Night-time,office,0,4,0,100
202740-23102013,Spring,5,Cooking-time,hospital,0,2,0,100
203013-23102013,Spring,6,Office Hours,hospital,0,1,0,100
209013-30102013,Spring,4,Cooking-time,public_facility,0,2,0,100
209014-30102013,Spring,5,Cooking-time,public_facility,0,1,0,100
209016-30102013,Spring,6,Cooking-time,public_facility,0,1,0,100
209018-30102013,Spring,7,Cooking-time,public_facility,0,1,0,100
209019-30102013,Spring,8,Cooking-time,public_facility,0,1,0,100
209020-30102013,Spring,9,Cooking-time,public_facility,0,1,0,100
209021-30102013,Spring,10,Cooking-time,public_facility,0,1,0,100
209022-30102013,Spring,11,Cooking-time,public_facility,0,1,0,100
209023-30102013,Spring,12,Cooking-time,public_facility,0,1,0,100
209024-30102013,Spring,13,Cooking-time,public_facility,0,1,0,100
209025-30102013,Spring,14,Cooking-time,public_facility,0,1,0,100
209026-30102013,Spring,15,Cooking-time,public_facility,0,1,0,100
209027-30102013,Spring,16,Cooking-time,public_facility,0,1,0,100
