incident_number,season,alarm_type,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
130237-26072013,Winter,1120,industry_facility,Work_days,0,3,0,100
130820-27072013,Winter,1100,industry_facility,Week_ends,0,4,0,100
134743-03082013,Winter,1120,others,Week_ends,0,7,0,100
138761-10082013,Winter,1200,others,Week_ends,0,1,0,100
162869-11092013,Spring,6210,office,Work_days,0,5,0,100
163603-12092013,Spring,1120,apartment,Work_days,0,3,0,100
165023-13092013,Spring,1120,office,Work_days,0,5,0,100
169021-20092013,Spring,1100,restaurant,Work_days,0,6,0,100
171327-23092013,Spring,0,office,Work_days,0,4,0,100
172375-25092013,Spring,0,hospital,Work_days,0,5,0,100
174879-27092013,Spring,1200,shopping_mall,Work_days,0,1,0,100
182228-05102013,Spring,6200,restaurant,Week_ends,0,1,0,100
188435-12102013,Spring,6110,hospital,Week_ends,0,6,0,100
191902-15102013,Spring,1120,shopping_mall,Work_days,0,1,0,100
197928-19102013,Spring,1120,industry_facility,Week_ends,0,1,0,100
200090-21102013,Spring,1200,others,Work_days,0,2,0,100
219361-10112013,Spring,1100,house,Week_ends,0,2,0,100
220396-12112013,Spring,1120,public_facility,Work_days,0,1,0,100
227416-24112013,Spring,0,apartment,Week_ends,0,1,0,100
234686-06122013,Summer,1200,hotel,Work_days,0,4,0,100
235343-07122013,Summer,1200,hotel,Week_ends,0,3,0,100
240563-15122013,Summer,6110,rest_home,Week_ends,0,5,0,100
241556-17122013,Summer,6120,office,Work_days,0,1,0,100
249281-28122013,Summer,1900,shopping_mall,Week_ends,0,1,0,100
007277-12012014,Summer,0,school,Week_ends,0,1,0,100
009964-16012014,Summer,6210,office,Work_days,0,2,0,100
011746-18012014,Summer,0,office,Week_ends,0,1,0,100
021641-01022014,Summer,0,others,Week_ends,0,1,0,100
022764-03022014,Summer,0,hotel,Work_days,0,2,0,100
025120-06022014,Summer,0,industry_facility,Work_days,0,1,0,100
026371-08022014,Summer,1120,office,Week_ends,0,1,0,100
028073-10022014,Summer,7110,others,Work_days,0,4,0,100
031006-15022014,Summer,7110,others,Week_ends,0,1,0,100
031535-15022014,Summer,0,shopping_mall,Week_ends,0,1,0,100
031851-16022014,Summer,6120,others,Week_ends,0,2,0,100
032285-16022014,Summer,6110,house,Week_ends,0,1,0,100
036693-24022014,Summer,1120,apartment,Work_days,0,2,0,100
037114-25022014,Summer,2270,others,Work_days,0,1,0,100
037864-27022014,Summer,0,public_facility,Work_days,0,1,0,100
040684-04032014,Autumn,6110,shopping_mall,Work_days,0,12,0,100
041803-06032014,Autumn,0,school,Work_days,0,1,0,100
043266-08032014,Autumn,1100,hospital,Week_ends,0,4,0,100
043487-09032014,Autumn,1120,apartment,Week_ends,0,1,0,100
047706-16032014,Autumn,0,apartment,Week_ends,0,2,0,100
048676-17032014,Autumn,0,rest_home,Work_days,0,2,0,100
049093-18032014,Autumn,6120,others,Work_days,0,2,0,100
053013-25032014,Autumn,1900,public_facility,Work_days,0,2,0,100
056109-30032014,Autumn,6120,industry_facility,Week_ends,0,3,0,100
057040-01042014,Autumn,1100,restaurant,Work_days,0,4,0,100
059234-05042014,Autumn,1900,apartment,Week_ends,0,2,0,100
062375-12042014,Autumn,1110,others,Week_ends,0,1,0,100
071650-29042014,Autumn,0,shopping_mall,Work_days,0,1,0,100
089083-30052014,Autumn,1120,apartment,Work_days,0,1,0,100
090425-02062014,Winter,1200,hotel,Work_days,0,5,0,100
105216-01072014,Winter,2270,others,Work_days,0,2,0,100
114216-15072014,Winter,1120,hospital,Work_days,0,1,0,100
115841-18072014,Winter,1130,shopping_mall,Work_days,0,1,0,100
138956-24082014,Winter,1100,hospital,Week_ends,0,2,0,100
144724-04092014,Spring,1200,hotel,Work_days,0,5,0,100
161935-04102014,Spring,0,hotel,Week_ends,0,1,0,100
162400-04102014,Spring,6210,office,Week_ends,0,1,0,100
167503-11102014,Spring,0,office,Week_ends,0,1,0,100
170676-15102014,Spring,1110,others,Work_days,0,2,0,100
176281-25102014,Spring,2350,others,Week_ends,0,2,0,100
181530-01112014,Spring,1200,shopping_mall,Week_ends,0,1,0,100
182319-01112014,Spring,0,rest_home,Week_ends,0,1,0,100
182840-01112014,Spring,1900,public_facility,Week_ends,0,1,0,100
186698-07112014,Spring,1200,office,Work_days,0,1,0,100
205666-03122014,Summer,1100,restaurant,Work_days,0,5,0,100
205828-03122014,Summer,1900,school,Work_days,0,1,0,100
213008-13122014,Summer,1200,others,Week_ends,0,1,0,100
213596-14122014,Summer,4310,others,Week_ends,0,1,0,100
223401-30122014,Summer,2270,office,Work_days,0,2,0,100
001864-03012015,Summer,1120,industry_facility,Week_ends,0,1,0,100
004434-08012015,Summer,1200,office,Work_days,0,1,0,100
009606-17012015,Summer,0,tansport,Week_ends,0,1,0,100
020847-07022015,Summer,1120,hospital,Week_ends,0,1,0,100
038453-10032015,Autumn,1200,office,Work_days,0,2,0,100
045018-21032015,Autumn,1200,others,Week_ends,0,1,0,100
045276-21032015,Autumn,1200,apartment,Week_ends,0,1,0,100
046509-24032015,Autumn,2350,others,Work_days,0,1,0,100
051840-02042015,Autumn,1120,hotel,Work_days,0,2,0,100
053600-05042015,Autumn,1100,restaurant,Week_ends,0,1,0,100
058408-15042015,Autumn,1140,apartment,Work_days,0,2,0,100
058444-15042015,Autumn,0,tansport,Work_days,0,1,0,100
068161-22042015,Autumn,4110,others,Work_days,0,1,0,100
070286-25042015,Autumn,2270,office,Week_ends,0,1,0,100
070347-25042015,Autumn,1100,industry_facility,Week_ends,0,3,0,100
070514-25042015,Autumn,7110,others,Week_ends,0,1,0,100
071655-27042015,Autumn,2270,office,Work_days,0,1,0,100
097414-14062015,Winter,1170,industry_facility,Week_ends,0,1,0,100
102413-24062015,Winter,2270,office,Work_days,0,2,0,100
115527-19072015,Winter,1120,shopping_mall,Week_ends,0,1,0,100
118734-26072015,Winter,6110,house,Week_ends,0,1,0,100
