incident_number,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
064340-31032013,6210,2,office,Week_ends,0,1,0,100
064759-31032013,6900,3,hotel,Week_ends,0,3,0,100
064850-01042013,6900,5,hotel,Work_days,0,1,0,100
066157-03042013,6110,2,office,Work_days,0,6,0,100
066970-04042013,1100,3,school,Work_days,0,4,0,100
066998-04042013,1100,4,school,Work_days,0,1,0,100
067018-04042013,1100,5,school,Work_days,0,1,0,100
067048-05042013,1100,6,school,Work_days,0,1,0,100
067362-05042013,1100,7,school,Work_days,0,1,0,100
067780-06042013,1100,8,school,Week_ends,0,1,0,100
068906-08042013,6990,2,house,Work_days,0,4,0,100
069245-09042013,6210,0,office,Work_days,0,13,0,100
069314-09042013,6210,1,office,Work_days,0,3,0,100
072657-14042013,6100,3,shopping_mall,Week_ends,0,1,0,100
072666-14042013,6100,4,shopping_mall,Week_ends,0,1,0,100
075831-19042013,6200,3,public_facility,Work_days,0,2,0,100
076580-21042013,1120,0,office,Week_ends,0,3,0,100
078958-25042013,6200,3,school,Work_days,0,1,0,100
080646-28042013,6110,1,industry_facility,Week_ends,0,3,0,100
081232-28042013,6100,1,house,Week_ends,0,5,0,100
082320-30042013,6110,2,rest_home,Work_days,0,3,0,100
082588-01052013,6110,3,rest_home,Work_days,0,2,0,100
087617-09052013,6100,3,tansport,Work_days,0,1,0,100
089369-12052013,6100,1,restaurant,Week_ends,0,3,0,100
089902-12052013,6990,1,tansport,Week_ends,0,5,0,100
094407-20052013,6900,6,apartment,Work_days,0,3,0,100
095915-22052013,1100,1,rest_home,Work_days,0,5,0,100
096952-24052013,6900,7,apartment,Work_days,0,2,0,100
