incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
648870-31082012,Winter,6200,2,Cooking-time,others,0,2,0,100
649184-01092012,Spring,1900,1,Night-time,others,0,1,0,100
649287-01092012,Spring,1900,0,Night-time,industry_facility,0,1,0,100
649298-01092012,Spring,6990,2,Night-time,others,0,31,0,100
649311-01092012,Spring,6100,0,Night-time,tansport,0,39,0,100
649314-01092012,Spring,1100,0,Cooking-time,restaurant,0,6,0,100
649324-01092012,Spring,6900,1,Cooking-time,rest_home,0,33,0,100
649336-01092012,Spring,6990,1,Cooking-time,public_facility,0,39,0,100
649472-01092012,Spring,1100,0,Office Hours,hotel,0,7,0,100
649480-01092012,Spring,6990,3,Office Hours,others,0,8,0,100
649491-01092012,Spring,6990,0,Office Hours,public_facility,0,161,0,100
649564-01092012,Spring,6100,0,Cooking-time,tansport,0,51,0,100
649591-01092012,Spring,6900,1,Cooking-time,apartment,0,61,0,100
649607-01092012,Spring,6900,2,Cooking-time,apartment,0,8,0,100
649653-01092012,Spring,6900,1,Office Hours,hospital,0,24,0,100
649774-01092012,Spring,6990,4,Office Hours,others,0,5,0,100
649819-01092012,Spring,1100,0,Office Hours,apartment,0,41,0,100
649822-01092012,Spring,6110,0,Office Hours,rest_home,0,3,0,100
649839-01092012,Spring,6900,0,Office Hours,public_facility,0,128,0,100
649891-01092012,Spring,6900,2,Cooking-time,others,0,26,0,100
649951-01092012,Spring,6990,1,Cooking-time,shopping_mall,0,45,0,100
650022-01092012,Spring,6990,0,Cooking-time,restaurant,0,8,0,100
650023-01092012,Spring,6110,0,Cooking-time,hotel,0,26,0,100
650236-02092012,Spring,6100,1,Night-time,hospital,0,44,0,100
650241-02092012,Spring,6990,1,Night-time,office,0,15,0,100
650300-02092012,Spring,1100,1,Cooking-time,others,0,27,0,100
650413-02092012,Spring,6200,0,Office Hours,public_facility,0,17,0,100
650434-02092012,Spring,6900,1,Cooking-time,hotel,0,21,0,100
650536-02092012,Spring,6900,1,Cooking-time,shopping_mall,0,29,0,100
650581-02092012,Spring,6100,1,Office Hours,tansport,0,5,0,100
650651-02092012,Spring,6990,0,Office Hours,tansport,0,12,0,100
650652-02092012,Spring,1100,0,Office Hours,tansport,0,6,0,100
650655-02092012,Spring,6100,0,Office Hours,industry_facility,0,21,0,100
650741-02092012,Spring,6100,1,Cooking-time,others,0,132,0,100
650814-02092012,Spring,1120,0,Cooking-time,hotel,0,2,0,100
650905-03092012,Spring,6990,0,Night-time,industry_facility,0,41,0,100
650912-03092012,Spring,6900,2,Night-time,hospital,0,7,0,100
650965-03092012,Spring,6990,1,Cooking-time,industry_facility,0,12,0,100
650988-03092012,Spring,6200,0,Cooking-time,school,0,29,0,100
650990-03092012,Spring,6990,1,Cooking-time,hospital,0,38,0,100
651062-03092012,Spring,6110,0,Office Hours,hospital,0,13,0,100
651118-03092012,Spring,6900,1,Office Hours,office,0,8,0,100
651257-03092012,Spring,6990,2,Cooking-time,apartment,0,8,0,100
651326-03092012,Spring,6110,0,Office Hours,industry_facility,0,12,0,100
651390-03092012,Spring,6200,0,Office Hours,apartment,0,81,0,100
651617-03092012,Spring,6900,1,Cooking-time,house,0,5,0,100
651659-03092012,Spring,6110,1,Cooking-time,apartment,0,4,0,100
651687-03092012,Spring,6900,2,Night-time,others,0,28,0,100
651711-03092012,Spring,6290,0,Night-time,school,0,2,0,100
651955-04092012,Spring,6200,0,Night-time,office,0,15,0,100
651966-04092012,Spring,6200,0,Night-time,public_facility,0,15,0,100
652013-04092012,Spring,6200,1,Cooking-time,others,0,19,0,100
652087-04092012,Spring,6900,2,Office Hours,house,0,1,0,100
652093-04092012,Spring,1100,1,Office Hours,office,0,2,0,100
652106-04092012,Spring,1100,2,Office Hours,office,0,1,0,100
652277-04092012,Spring,6200,2,Cooking-time,others,0,3,0,100
652400-04092012,Spring,6110,0,Office Hours,hotel,0,18,0,100
652793-04092012,Spring,6100,1,Night-time,public_facility,0,14,0,100
652817-05092012,Spring,6110,0,Night-time,public_facility,0,13,0,100
653267-05092012,Spring,6100,1,Cooking-time,hotel,0,21,0,100
653329-05092012,Spring,6100,2,Cooking-time,others,0,15,0,100
653376-05092012,Spring,6100,3,Cooking-time,others,0,5,0,100
653483-05092012,Spring,1100,0,Office Hours,public_facility,0,18,0,100
653485-05092012,Spring,1100,0,Office Hours,shopping_mall,0,46,0,100
653506-05092012,Spring,6200,0,Office Hours,shopping_mall,0,32,0,100
653511-05092012,Spring,6990,2,Office Hours,apartment,0,2,0,100
653653-05092012,Spring,1100,1,Office Hours,shopping_mall,0,3,0,100
